track_id,danceability,energy,valence,tempo,loudness,acousticness
2D4BSm5Z8Hq5zYbSgJwEOh,0.397,0.303,0.172,81.05,-7.508,0.381
7LwGBxB0h0CVmkOZxYKn0g,0.548,0.42,0.196,128.012,-7.842,0.198
0ZwdH0m32I8odedwvspYTh,0.787,0.403,0.264,118.042,-11.989,0.603
16dkWKIlBsfYTISCVuDs0w,0.484,0.573,0.346,139.966,-6.183,0.0882
3TwtrR1yNLY1PMPsrGQpOp,0.382,0.416,0.125,102.089,-9.303,0.0733
3Et4LKZLnXygPYfNdeB3D3,0.541,0.575,0.428,91.98,-9.463,0.677
2E9viCx0hJKNKNThd2MdGQ,0.607,0.473,0.54,119.698,-8.555,0.712
0Zf1BPkkFAWGtVHeBwHHz4,0.417,0.595,0.117,147.928,-7.84,0.158
38jy6kRlPt8z1GUS9WXeNh,0.572,0.454,0.515,140.182,-10.286,0.477
2SkJKMfjpYsNv0KWOxiegX,0.709,0.913,0.519,108.024,-5.148,0.0182
4qCbMMMuEB56kHd4zPE6GD,0.537,0.342,0.253,109.236,-13.553,0.645
11TK5KLtLZUdKr1C549bAw,0.602,0.336,0.335,90.894,-11.106,0.883
7BXW1QCg56yzEBV8pW8pah,0.643,0.638,0.6,82.001,-4.947,0.204
2kMrCPZ0o5gErBPLCRgoli,0.451,0.7,0.37,150.055,-6.597,0.455
5IjTZ1g8KrIuV97N3OQZ0V,0.546,0.391,0.202,139.669,-10.786,0.784
3bHhUEOTIbezeZ856R0BX5,0.561,0.327,0.298,161.858,-10.835,0.902
0wf17wsLRwnnfh241GkeH5,0.479,0.541,0.3,85.994,-9.862,0.74
3322ArxAq7wCSZI4fF77Q0,0.479,0.541,0.3,85.994,-9.862,0.74
4LGF2tDg3878bs0mQPByZ4,0.436,0.4,0.351,100.734,-11.485,0.904
6Uy6K3KdmUdAfelUp0SeXn,0.551,0.836,0.758,185.063,-3.838,0.00502
2z2JKNU24UEngb4joR9p8f,0.409,0.153,0.18,85.262,-10.74,0.939
2nef44o0sjJDKB1ta4S0ub,0.409,0.153,0.18,85.262,-10.74,0.939
0qJGlogD7AyMLAJfQ42aI2,0.6,0.845,0.392,97.631,-7.076,0.048
04JS6OitE9VGsIS3S94Osg,0.492,0.145,0.218,90.078,-14.504,0.872
5OGpsZeJRZ3t3MZioawcZW,0.492,0.145,0.218,90.078,-14.504,0.872
3Vnes7v746dYzBn0FJTZ1W,0.447,0.555,0.33,117.888,-6.018,0.218
30cYWLpVdBZVLb1cYdmcTT,0.492,0.145,0.218,90.078,-14.504,0.872
7sUqJ51FGSi3n7x4pYjY3v,0.492,0.145,0.218,90.078,-14.504,0.872
15BFn2VmEtonsXfNL1lUmy,0.492,0.145,0.218,90.078,-14.504,0.872
0WOFJR54wyTwLB11jcBDb1,0.492,0.145,0.218,90.078,-14.504,0.872
1uDCw6LVMOmbZ6zRliNcNX,0.492,0.145,0.218,90.078,-14.504,0.872
7DYsBLdOqz0z14tYWMt2Tn,0.661,0.937,0.805,105.549,-5.157,0.322
7cPuE0M35EajWPRO3nRcH8,0.603,0.78,0.693,100.499,-5.531,0.139
0U32q8CZRRo7xCzyiaZw5f,0.626,0.655,0.542,92.003,-6.69,0.503
4kQXMVjoZ9yMibLZq5Aqi5,0.794,0.38,0.617,114.99,-8.769,0.762
3us8sod4dLbM9FiMiPiEY8,0.52,0.279,0.0951,69.642,-10.739,0.894
1PR5pyPiOEEQ02oJYq402x,0.545,0.658,0.683,76.971,-7.174,0.496
068qo0w1Ki0cjnFYOUhAm2,0.728,0.266,0.307,115.189,-7.322,0.872
2RFt6ZWQbr9mPhsft9u9eX,0.66,0.407,0.257,133.86,-8.381,0.236
59pUIlXjQupbiYwt40uUTi,0.357,0.161,0.325,83.449,-10.667,0.971
0VhZ5JYfqPojSYeGWnk4dL,0.479,0.154,0.36,147.207,-11.282,0.915
0ltIx8PLjtWoS9zn9PqsZW,0.592,0.769,0.385,102.033,-5.268,0.319
7ACW42whcdOiUxiNVu7ltx,0.7,0.454,0.34,80.011,-10.39,0.55
4qTHoIp62ngNDpUJwW3hZ7,0.402,0.197,0.148,100.044,-10.775,0.858
4VbDTk82rqWqVgoQC93CkC,0.507,0.378,0.085,135.86,-9.019,0.852
