track_id,danceability,energy,valence,tempo,loudness,acousticness
1.0,0.676,0.461,0.715,87.917,-6.746,0.0322
2.0,0.42,0.166,0.267,77.489,-17.235,0.924
585.0,0.42,0.166,0.267,77.489,-17.235,0.924
3.0,0.438,0.359,0.12,76.332,-9.734,0.21
4.0,0.266,0.0596,0.143,181.74,-18.515,0.905
519.0,0.266,0.0596,0.143,181.74,-18.515,0.905
65122.0,0.266,0.0596,0.143,181.74,-18.515,0.905
72701.0,0.266,0.0596,0.143,181.74,-18.515,0.905
74320.0,0.266,0.0596,0.143,181.74,-18.515,0.905
5.0,0.618,0.443,0.167,119.949,-9.681,0.469
96.0,0.618,0.443,0.167,119.949,-9.681,0.469
6553.0,0.618,0.443,0.167,119.949,-9.681,0.469
7721.0,0.618,0.443,0.167,119.949,-9.681,0.469
10330.0,0.618,0.443,0.167,119.949,-9.681,0.469
22391.0,0.618,0.443,0.167,119.949,-9.681,0.469
23098.0,0.618,0.443,0.167,119.949,-9.681,0.469
26662.0,0.618,0.443,0.167,119.949,-9.681,0.469
27120.0,0.618,0.443,0.167,119.949,-9.681,0.469
42162.0,0.618,0.443,0.167,119.949,-9.681,0.469
68454.0,0.618,0.443,0.167,119.949,-9.681,0.469
72033.0,0.618,0.443,0.167,119.949,-9.681,0.469
75600.0,0.618,0.443,0.167,119.949,-9.681,0.469
87797.0,0.618,0.443,0.167,119.949,-9.681,0.469
88482.0,0.618,0.443,0.167,119.949,-9.681,0.469
6.0,0.688,0.481,0.666,98.017,-8.807,0.289
697.0,0.688,0.481,0.666,98.017,-8.807,0.289
7.0,0.407,0.147,0.0765,141.284,-8.822,0.857
21.0,0.407,0.147,0.0765,141.284,-8.822,0.857
162.0,0.407,0.147,0.0765,141.284,-8.822,0.857
222.0,0.407,0.147,0.0765,141.284,-8.822,0.857
13910.0,0.407,0.147,0.0765,141.284,-8.822,0.857
8.0,0.703,0.444,0.712,150.96,-9.331,0.559
160.0,0.703,0.444,0.712,150.96,-9.331,0.559
9.0,0.625,0.414,0.669,130.088,-8.7,0.294
17125.0,0.625,0.414,0.669,130.088,-8.7,0.294
84312.0,0.625,0.414,0.669,130.088,-8.7,0.294
10.0,0.442,0.632,0.196,78.899,-6.77,0.426
35921.0,0.442,0.632,0.196,78.899,-6.77,0.426
11.0,0.627,0.363,0.301,99.905,-8.127,0.279
450.0,0.627,0.363,0.301,99.905,-8.127,0.279
12.0,0.483,0.303,0.139,133.406,-10.058,0.694
116.0,0.483,0.303,0.139,133.406,-10.058,0.694
13.0,0.489,0.314,0.607,124.234,-9.245,0.749
28583.0,0.489,0.314,0.607,124.234,-9.245,0.749
62618.0,0.489,0.314,0.607,124.234,-9.245,0.749
76574.0,0.489,0.314,0.607,124.234,-9.245,0.749
82256.0,0.489,0.314,0.607,124.234,-9.245,0.749
14.0,0.691,0.234,0.209,87.103,-6.441,0.777
19993.0,0.691,0.234,0.209,87.103,-6.441,0.777
73512.0,0.691,0.234,0.209,87.103,-6.441,0.777
15.0,0.755,0.78,0.387,120.004,-6.084,0.124
16.0,0.489,0.561,0.238,83.457,-7.933,0.2
211.0,0.489,0.561,0.238,83.457,-7.933,0.2
17.0,0.706,0.112,0.414,110.154,-18.098,0.827
47674.0,0.706,0.112,0.414,110.154,-18.098,0.827
47676.0,0.706,0.112,0.414,110.154,-18.098,0.827
47677.0,0.706,0.112,0.414,110.154,-18.098,0.827
47678.0,0.706,0.112,0.414,110.154,-18.098,0.827
47681.0,0.706,0.112,0.414,110.154,-18.098,0.827
47682.0,0.706,0.112,0.414,110.154,-18.098,0.827
18.0,0.795,0.0841,0.609,91.803,-18.09,0.742
14971.0,0.795,0.0841,0.609,91.803,-18.09,0.742
14983.0,0.795,0.0841,0.609,91.803,-18.09,0.742
15008.0,0.795,0.0841,0.609,91.803,-18.09,0.742
15011.0,0.795,0.0841,0.609,91.803,-18.09,0.742
15012.0,0.795,0.0841,0.609,91.803,-18.09,0.742
15046.0,0.795,0.0841,0.609,91.803,-18.09,0.742
15048.0,0.795,0.0841,0.609,91.803,-18.09,0.742
15056.0,0.795,0.0841,0.609,91.803,-18.09,0.742
15059.0,0.795,0.0841,0.609,91.803,-18.09,0.742
15564.0,0.795,0.0841,0.609,91.803,-18.09,0.742
9.0,0.625,0.414,0.669,130.088,-8.7,0.294
17125.0,0.625,0.414,0.669,130.088,-8.7,0.294
84312.0,0.625,0.414,0.669,130.088,-8.7,0.294
19.0,0.717,0.32,0.322,107.946,-8.393,0.83
641.0,0.717,0.32,0.322,107.946,-8.393,0.83
39659.0,0.717,0.32,0.322,107.946,-8.393,0.83
42722.0,0.717,0.32,0.322,107.946,-8.393,0.83
68601.0,0.717,0.32,0.322,107.946,-8.393,0.83
8.0,0.703,0.444,0.712,150.96,-9.331,0.559
160.0,0.703,0.444,0.712,150.96,-9.331,0.559
20.0,0.678,0.351,0.569,90.032,-8.654,0.747
733.0,0.678,0.351,0.569,90.032,-8.654,0.747
6416.0,0.678,0.351,0.569,90.032,-8.654,0.747
27567.0,0.678,0.351,0.569,90.032,-8.654,0.747
29655.0,0.678,0.351,0.569,90.032,-8.654,0.747
31004.0,0.678,0.351,0.569,90.032,-8.654,0.747
69502.0,0.678,0.351,0.569,90.032,-8.654,0.747
73511.0,0.678,0.351,0.569,90.032,-8.654,0.747
73524.0,0.678,0.351,0.569,90.032,-8.654,0.747
73530.0,0.678,0.351,0.569,90.032,-8.654,0.747
73531.0,0.678,0.351,0.569,90.032,-8.654,0.747
73532.0,0.678,0.351,0.569,90.032,-8.654,0.747
7.0,0.407,0.147,0.0765,141.284,-8.822,0.857
21.0,0.407,0.147,0.0765,141.284,-8.822,0.857
162.0,0.407,0.147,0.0765,141.284,-8.822,0.857
222.0,0.407,0.147,0.0765,141.284,-8.822,0.857
13910.0,0.407,0.147,0.0765,141.284,-8.822,0.857
22.0,0.572,0.454,0.515,140.182,-10.286,0.477
74.0,0.572,0.454,0.515,140.182,-10.286,0.477
23.0,0.796,0.667,0.754,97.988,-4.831,0.381
699.0,0.796,0.667,0.754,97.988,-4.831,0.381
24.0,0.755,0.454,0.33,120.06,-9.609,0.757
25.0,0.62,0.309,0.664,145.363,-9.209,0.788
27.0,0.62,0.309,0.664,145.363,-9.209,0.788
28.0,0.62,0.309,0.664,145.363,-9.209,0.788
29.0,0.62,0.309,0.664,145.363,-9.209,0.788
30.0,0.62,0.309,0.664,145.363,-9.209,0.788
7367.0,0.62,0.309,0.664,145.363,-9.209,0.788
7418.0,0.62,0.309,0.664,145.363,-9.209,0.788
7422.0,0.62,0.309,0.664,145.363,-9.209,0.788
19381.0,0.62,0.309,0.664,145.363,-9.209,0.788
55296.0,0.62,0.309,0.664,145.363,-9.209,0.788
55307.0,0.62,0.309,0.664,145.363,-9.209,0.788
55371.0,0.62,0.309,0.664,145.363,-9.209,0.788
55372.0,0.62,0.309,0.664,145.363,-9.209,0.788
55374.0,0.62,0.309,0.664,145.363,-9.209,0.788
55375.0,0.62,0.309,0.664,145.363,-9.209,0.788
55376.0,0.62,0.309,0.664,145.363,-9.209,0.788
55377.0,0.62,0.309,0.664,145.363,-9.209,0.788
55378.0,0.62,0.309,0.664,145.363,-9.209,0.788
55379.0,0.62,0.309,0.664,145.363,-9.209,0.788
55380.0,0.62,0.309,0.664,145.363,-9.209,0.788
55381.0,0.62,0.309,0.664,145.363,-9.209,0.788
55382.0,0.62,0.309,0.664,145.363,-9.209,0.788
55384.0,0.62,0.309,0.664,145.363,-9.209,0.788
55386.0,0.62,0.309,0.664,145.363,-9.209,0.788
55560.0,0.62,0.309,0.664,145.363,-9.209,0.788
71976.0,0.62,0.309,0.664,145.363,-9.209,0.788
73709.0,0.62,0.309,0.664,145.363,-9.209,0.788
73711.0,0.62,0.309,0.664,145.363,-9.209,0.788
73717.0,0.62,0.309,0.664,145.363,-9.209,0.788
73719.0,0.62,0.309,0.664,145.363,-9.209,0.788
73720.0,0.62,0.309,0.664,145.363,-9.209,0.788
73723.0,0.62,0.309,0.664,145.363,-9.209,0.788
73724.0,0.62,0.309,0.664,145.363,-9.209,0.788
73730.0,0.62,0.309,0.664,145.363,-9.209,0.788
73731.0,0.62,0.309,0.664,145.363,-9.209,0.788
73732.0,0.62,0.309,0.664,145.363,-9.209,0.788
73736.0,0.62,0.309,0.664,145.363,-9.209,0.788
26.0,0.633,0.429,0.52,143.793,-6.784,0.0444
25.0,0.62,0.309,0.664,145.363,-9.209,0.788
27.0,0.62,0.309,0.664,145.363,-9.209,0.788
28.0,0.62,0.309,0.664,145.363,-9.209,0.788
29.0,0.62,0.309,0.664,145.363,-9.209,0.788
30.0,0.62,0.309,0.664,145.363,-9.209,0.788
7367.0,0.62,0.309,0.664,145.363,-9.209,0.788
7418.0,0.62,0.309,0.664,145.363,-9.209,0.788
7422.0,0.62,0.309,0.664,145.363,-9.209,0.788
19381.0,0.62,0.309,0.664,145.363,-9.209,0.788
55296.0,0.62,0.309,0.664,145.363,-9.209,0.788
55307.0,0.62,0.309,0.664,145.363,-9.209,0.788
55371.0,0.62,0.309,0.664,145.363,-9.209,0.788
55372.0,0.62,0.309,0.664,145.363,-9.209,0.788
55374.0,0.62,0.309,0.664,145.363,-9.209,0.788
55375.0,0.62,0.309,0.664,145.363,-9.209,0.788
55376.0,0.62,0.309,0.664,145.363,-9.209,0.788
55377.0,0.62,0.309,0.664,145.363,-9.209,0.788
55378.0,0.62,0.309,0.664,145.363,-9.209,0.788
55379.0,0.62,0.309,0.664,145.363,-9.209,0.788
55380.0,0.62,0.309,0.664,145.363,-9.209,0.788
55381.0,0.62,0.309,0.664,145.363,-9.209,0.788
55382.0,0.62,0.309,0.664,145.363,-9.209,0.788
55384.0,0.62,0.309,0.664,145.363,-9.209,0.788
55386.0,0.62,0.309,0.664,145.363,-9.209,0.788
55560.0,0.62,0.309,0.664,145.363,-9.209,0.788
71976.0,0.62,0.309,0.664,145.363,-9.209,0.788
73709.0,0.62,0.309,0.664,145.363,-9.209,0.788
73711.0,0.62,0.309,0.664,145.363,-9.209,0.788
73717.0,0.62,0.309,0.664,145.363,-9.209,0.788
73719.0,0.62,0.309,0.664,145.363,-9.209,0.788
73720.0,0.62,0.309,0.664,145.363,-9.209,0.788
73723.0,0.62,0.309,0.664,145.363,-9.209,0.788
73724.0,0.62,0.309,0.664,145.363,-9.209,0.788
73730.0,0.62,0.309,0.664,145.363,-9.209,0.788
73731.0,0.62,0.309,0.664,145.363,-9.209,0.788
73732.0,0.62,0.309,0.664,145.363,-9.209,0.788
73736.0,0.62,0.309,0.664,145.363,-9.209,0.788
25.0,0.62,0.309,0.664,145.363,-9.209,0.788
27.0,0.62,0.309,0.664,145.363,-9.209,0.788
28.0,0.62,0.309,0.664,145.363,-9.209,0.788
29.0,0.62,0.309,0.664,145.363,-9.209,0.788
30.0,0.62,0.309,0.664,145.363,-9.209,0.788
7367.0,0.62,0.309,0.664,145.363,-9.209,0.788
7418.0,0.62,0.309,0.664,145.363,-9.209,0.788
7422.0,0.62,0.309,0.664,145.363,-9.209,0.788
19381.0,0.62,0.309,0.664,145.363,-9.209,0.788
55296.0,0.62,0.309,0.664,145.363,-9.209,0.788
55307.0,0.62,0.309,0.664,145.363,-9.209,0.788
55371.0,0.62,0.309,0.664,145.363,-9.209,0.788
55372.0,0.62,0.309,0.664,145.363,-9.209,0.788
55374.0,0.62,0.309,0.664,145.363,-9.209,0.788
55375.0,0.62,0.309,0.664,145.363,-9.209,0.788
55376.0,0.62,0.309,0.664,145.363,-9.209,0.788
55377.0,0.62,0.309,0.664,145.363,-9.209,0.788
55378.0,0.62,0.309,0.664,145.363,-9.209,0.788
55379.0,0.62,0.309,0.664,145.363,-9.209,0.788
55380.0,0.62,0.309,0.664,145.363,-9.209,0.788
55381.0,0.62,0.309,0.664,145.363,-9.209,0.788
55382.0,0.62,0.309,0.664,145.363,-9.209,0.788
55384.0,0.62,0.309,0.664,145.363,-9.209,0.788
55386.0,0.62,0.309,0.664,145.363,-9.209,0.788
55560.0,0.62,0.309,0.664,145.363,-9.209,0.788
71976.0,0.62,0.309,0.664,145.363,-9.209,0.788
73709.0,0.62,0.309,0.664,145.363,-9.209,0.788
73711.0,0.62,0.309,0.664,145.363,-9.209,0.788
73717.0,0.62,0.309,0.664,145.363,-9.209,0.788
73719.0,0.62,0.309,0.664,145.363,-9.209,0.788
73720.0,0.62,0.309,0.664,145.363,-9.209,0.788
73723.0,0.62,0.309,0.664,145.363,-9.209,0.788
73724.0,0.62,0.309,0.664,145.363,-9.209,0.788
73730.0,0.62,0.309,0.664,145.363,-9.209,0.788
73731.0,0.62,0.309,0.664,145.363,-9.209,0.788
73732.0,0.62,0.309,0.664,145.363,-9.209,0.788
73736.0,0.62,0.309,0.664,145.363,-9.209,0.788
25.0,0.62,0.309,0.664,145.363,-9.209,0.788
27.0,0.62,0.309,0.664,145.363,-9.209,0.788
28.0,0.62,0.309,0.664,145.363,-9.209,0.788
29.0,0.62,0.309,0.664,145.363,-9.209,0.788
30.0,0.62,0.309,0.664,145.363,-9.209,0.788
7367.0,0.62,0.309,0.664,145.363,-9.209,0.788
7418.0,0.62,0.309,0.664,145.363,-9.209,0.788
7422.0,0.62,0.309,0.664,145.363,-9.209,0.788
19381.0,0.62,0.309,0.664,145.363,-9.209,0.788
55296.0,0.62,0.309,0.664,145.363,-9.209,0.788
55307.0,0.62,0.309,0.664,145.363,-9.209,0.788
55371.0,0.62,0.309,0.664,145.363,-9.209,0.788
55372.0,0.62,0.309,0.664,145.363,-9.209,0.788
55374.0,0.62,0.309,0.664,145.363,-9.209,0.788
55375.0,0.62,0.309,0.664,145.363,-9.209,0.788
55376.0,0.62,0.309,0.664,145.363,-9.209,0.788
55377.0,0.62,0.309,0.664,145.363,-9.209,0.788
55378.0,0.62,0.309,0.664,145.363,-9.209,0.788
55379.0,0.62,0.309,0.664,145.363,-9.209,0.788
55380.0,0.62,0.309,0.664,145.363,-9.209,0.788
55381.0,0.62,0.309,0.664,145.363,-9.209,0.788
55382.0,0.62,0.309,0.664,145.363,-9.209,0.788
55384.0,0.62,0.309,0.664,145.363,-9.209,0.788
55386.0,0.62,0.309,0.664,145.363,-9.209,0.788
55560.0,0.62,0.309,0.664,145.363,-9.209,0.788
71976.0,0.62,0.309,0.664,145.363,-9.209,0.788
73709.0,0.62,0.309,0.664,145.363,-9.209,0.788
73711.0,0.62,0.309,0.664,145.363,-9.209,0.788
73717.0,0.62,0.309,0.664,145.363,-9.209,0.788
73719.0,0.62,0.309,0.664,145.363,-9.209,0.788
73720.0,0.62,0.309,0.664,145.363,-9.209,0.788
73723.0,0.62,0.309,0.664,145.363,-9.209,0.788
73724.0,0.62,0.309,0.664,145.363,-9.209,0.788
73730.0,0.62,0.309,0.664,145.363,-9.209,0.788
73731.0,0.62,0.309,0.664,145.363,-9.209,0.788
73732.0,0.62,0.309,0.664,145.363,-9.209,0.788
73736.0,0.62,0.309,0.664,145.363,-9.209,0.788
25.0,0.62,0.309,0.664,145.363,-9.209,0.788
27.0,0.62,0.309,0.664,145.363,-9.209,0.788
28.0,0.62,0.309,0.664,145.363,-9.209,0.788
29.0,0.62,0.309,0.664,145.363,-9.209,0.788
30.0,0.62,0.309,0.664,145.363,-9.209,0.788
7367.0,0.62,0.309,0.664,145.363,-9.209,0.788
7418.0,0.62,0.309,0.664,145.363,-9.209,0.788
7422.0,0.62,0.309,0.664,145.363,-9.209,0.788
19381.0,0.62,0.309,0.664,145.363,-9.209,0.788
55296.0,0.62,0.309,0.664,145.363,-9.209,0.788
55307.0,0.62,0.309,0.664,145.363,-9.209,0.788
55371.0,0.62,0.309,0.664,145.363,-9.209,0.788
55372.0,0.62,0.309,0.664,145.363,-9.209,0.788
55374.0,0.62,0.309,0.664,145.363,-9.209,0.788
55375.0,0.62,0.309,0.664,145.363,-9.209,0.788
55376.0,0.62,0.309,0.664,145.363,-9.209,0.788
55377.0,0.62,0.309,0.664,145.363,-9.209,0.788
55378.0,0.62,0.309,0.664,145.363,-9.209,0.788
55379.0,0.62,0.309,0.664,145.363,-9.209,0.788
55380.0,0.62,0.309,0.664,145.363,-9.209,0.788
55381.0,0.62,0.309,0.664,145.363,-9.209,0.788
55382.0,0.62,0.309,0.664,145.363,-9.209,0.788
55384.0,0.62,0.309,0.664,145.363,-9.209,0.788
55386.0,0.62,0.309,0.664,145.363,-9.209,0.788
55560.0,0.62,0.309,0.664,145.363,-9.209,0.788
71976.0,0.62,0.309,0.664,145.363,-9.209,0.788
73709.0,0.62,0.309,0.664,145.363,-9.209,0.788
73711.0,0.62,0.309,0.664,145.363,-9.209,0.788
73717.0,0.62,0.309,0.664,145.363,-9.209,0.788
73719.0,0.62,0.309,0.664,145.363,-9.209,0.788
73720.0,0.62,0.309,0.664,145.363,-9.209,0.788
73723.0,0.62,0.309,0.664,145.363,-9.209,0.788
73724.0,0.62,0.309,0.664,145.363,-9.209,0.788
73730.0,0.62,0.309,0.664,145.363,-9.209,0.788
73731.0,0.62,0.309,0.664,145.363,-9.209,0.788
73732.0,0.62,0.309,0.664,145.363,-9.209,0.788
73736.0,0.62,0.309,0.664,145.363,-9.209,0.788
31.0,0.593,0.455,0.564,202.019,-8.192,0.366
32.0,0.296,0.206,0.202,165.4,-11.799,0.782
33.0,0.296,0.206,0.202,165.4,-11.799,0.782
34.0,0.296,0.206,0.202,165.4,-11.799,0.782
32.0,0.296,0.206,0.202,165.4,-11.799,0.782
33.0,0.296,0.206,0.202,165.4,-11.799,0.782
34.0,0.296,0.206,0.202,165.4,-11.799,0.782
32.0,0.296,0.206,0.202,165.4,-11.799,0.782
33.0,0.296,0.206,0.202,165.4,-11.799,0.782
34.0,0.296,0.206,0.202,165.4,-11.799,0.782
35.0,0.409,0.153,0.18,85.262,-10.74,0.939
38.0,0.409,0.153,0.18,85.262,-10.74,0.939
85.0,0.409,0.153,0.18,85.262,-10.74,0.939
86.0,0.409,0.153,0.18,85.262,-10.74,0.939
36.0,0.501,0.0952,0.316,138.016,-12.931,0.963
37.0,0.606,0.326,0.414,91.626,-10.031,0.841
780.0,0.606,0.326,0.414,91.626,-10.031,0.841
35.0,0.409,0.153,0.18,85.262,-10.74,0.939
38.0,0.409,0.153,0.18,85.262,-10.74,0.939
85.0,0.409,0.153,0.18,85.262,-10.74,0.939
86.0,0.409,0.153,0.18,85.262,-10.74,0.939
39.0,0.474,0.519,0.326,151.832,-5.291,0.281
40.0,0.568,0.301,0.142,88.029,-10.163,0.796
41.0,0.568,0.686,0.725,172.075,-6.635,0.15
42.0,0.568,0.686,0.725,172.075,-6.635,0.15
44.0,0.568,0.686,0.725,172.075,-6.635,0.15
45.0,0.568,0.686,0.725,172.075,-6.635,0.15
46.0,0.568,0.686,0.725,172.075,-6.635,0.15
47.0,0.568,0.686,0.725,172.075,-6.635,0.15
48.0,0.568,0.686,0.725,172.075,-6.635,0.15
41.0,0.568,0.686,0.725,172.075,-6.635,0.15
42.0,0.568,0.686,0.725,172.075,-6.635,0.15
44.0,0.568,0.686,0.725,172.075,-6.635,0.15
45.0,0.568,0.686,0.725,172.075,-6.635,0.15
46.0,0.568,0.686,0.725,172.075,-6.635,0.15
47.0,0.568,0.686,0.725,172.075,-6.635,0.15
48.0,0.568,0.686,0.725,172.075,-6.635,0.15
43.0,0.476,0.666,0.498,148.155,-3.438,0.314
41.0,0.568,0.686,0.725,172.075,-6.635,0.15
42.0,0.568,0.686,0.725,172.075,-6.635,0.15
44.0,0.568,0.686,0.725,172.075,-6.635,0.15
45.0,0.568,0.686,0.725,172.075,-6.635,0.15
46.0,0.568,0.686,0.725,172.075,-6.635,0.15
47.0,0.568,0.686,0.725,172.075,-6.635,0.15
48.0,0.568,0.686,0.725,172.075,-6.635,0.15
41.0,0.568,0.686,0.725,172.075,-6.635,0.15
42.0,0.568,0.686,0.725,172.075,-6.635,0.15
44.0,0.568,0.686,0.725,172.075,-6.635,0.15
45.0,0.568,0.686,0.725,172.075,-6.635,0.15
46.0,0.568,0.686,0.725,172.075,-6.635,0.15
47.0,0.568,0.686,0.725,172.075,-6.635,0.15
48.0,0.568,0.686,0.725,172.075,-6.635,0.15
41.0,0.568,0.686,0.725,172.075,-6.635,0.15
42.0,0.568,0.686,0.725,172.075,-6.635,0.15
44.0,0.568,0.686,0.725,172.075,-6.635,0.15
45.0,0.568,0.686,0.725,172.075,-6.635,0.15
46.0,0.568,0.686,0.725,172.075,-6.635,0.15
47.0,0.568,0.686,0.725,172.075,-6.635,0.15
48.0,0.568,0.686,0.725,172.075,-6.635,0.15
41.0,0.568,0.686,0.725,172.075,-6.635,0.15
42.0,0.568,0.686,0.725,172.075,-6.635,0.15
44.0,0.568,0.686,0.725,172.075,-6.635,0.15
45.0,0.568,0.686,0.725,172.075,-6.635,0.15
46.0,0.568,0.686,0.725,172.075,-6.635,0.15
47.0,0.568,0.686,0.725,172.075,-6.635,0.15
